seed,delta_AP,delta_AP50,delta_APvt_official_1500,delta_ARvt_2_8_3000,delta_AP_2_8_3000
0,0.0365,0.0955,0.0097,0.0081,0.0086
1,0.0104,0.0346,0.0027,0.0017,0.0024
