model,seed,AP,AP50,AP75,APvt_official_1500,ARvt_official_1500,ARvt_2_8_3000,AP_2_8_3000,APt_official_1500,APs_official_1500,AR_1500,checkpoint_sha256,prediction_json_sha256
B1-U,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.001,4b392bb55912c6fbee56d60eb1c7fe8327ef10a89e204aa65eab022c2af2c048,6349e510da9126843ceb92dfbc2f94a65fff3660fe93262d5e696d96ea62b0b6
B1-U,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0009,de5e35f0262e676c29e37d906a035e42f04840e506a86ccc0ea65e18594ff238,6c803ef728ee96463e480bfe4f9013985ac83ebb43affb3ac6c706fc8201a42d
PDD-U,0,0.0365,0.0955,0.0224,0.0097,0.0089,0.0081,0.0086,0.037,0.0603,0.0906,2e4d735223256a1b5bd2081e7b57993e6949074c7cc1490e65b7be608e076821,2ef68adf1dfc08f7b988dbadd6ab0d91174472d3127d11a2d7d68611e6e3cafb
PDD-U,1,0.0104,0.0346,0.0035,0.0027,0.002,0.0017,0.0024,0.0143,0.0069,0.0437,664dd5f9322fc37a86890272b08e051ef9e039a9aa54bd07232b160f251964b3,14afe6f2920fc6cef60c7ba16064fa4db3024144141c2501c5ea5d3f8c8ab822
